"character","age_m_valar","age_f_valar","nr_m_valar","nr_f_valar","nr_m_conc","nr_f_conc","m_valar_users","f_valar_users","valence","arousal","dominance","concreteness","imageability","significance","origin","valence_m","arousal_m","dominance_m","concreteness_m","imageability_m","significance_m","origin_m","valence_f","arousal_f","dominance_f","concreteness_f","imageability_f","significance_f","origin_f","tones"
"手","28.6923076923077","30.1538461538462","26","26","19","24","3,7,9,11,201,201,35,31,30,560,787,845,n-90,10003,tr-10008,10005,10009,10006,10036,10706,10807,10809,20000,20007,30000,tr-60003","1,2,8,5,12,21,32,33,550,789,667,502,n-5,n-32,10004,10007,10002,10022,10024,10023,10000,10035,10705,20006,20003,60010","5.71428571428571","4.57142857142857","5.91071428571429","2.30232558139535","7.69767441860465","6.72093023255814","5.83720930232558","6","5.38461538461539","6.26923076923077","3.05263157894737","7.05263157894737","6.36842105263158","5.05263157894737","5.53846153846154","3.65384615384615","5.46153846153846","1.70833333333333","8.20833333333333","7","6.45833333333333","3"
"媾","28.48","30.1538461538462","25","26","20","23","3,7,9,11,201,201,35,31,30,560,787,845,n-90,10003,tr-10008,10005,10009,10006,10036,10706,10809,20000,20007,30000,tr-60003","1,2,8,5,12,21,32,33,550,789,667,502,n-5,n-32,10004,10007,10002,10022,10024,10023,10000,10035,10705,20006,20003,60010","4.52727272727273","4.83636363636364","4.74545454545455","5.7906976744186","3.97674418604651","3.86046511627907","4.16279069767442","5","5.72","5.32","5.65","4.6","4.2","4.3","4.07692307692308","4.03846153846154","4.15384615384615","5.91304347826087","3.43478260869565","3.56521739130435","4.04347826086957","4"
"侦","27.92","30.1538461538462","25","26","19","23","3,7,9,11,35,31,30,560,787,845,n-90,10003,tr-10008,10005,10009,10006,10036,10706,10807,10807,10809,20000,20007,30000,tr-60003","1,2,8,5,12,21,32,33,550,789,667,502,n-5,n-32,10004,10007,10002,10022,10024,10023,10000,10035,10705,20006,20003,60010","5.50909090909091","4.94545454545455","5.83636363636364","5.58139534883721","5.18604651162791","5.97674418604651","6.27906976744186","5.96","5.52","5.84","5.26315789473684","5.89473684210526","6.42105263157895","6.05263157894737","5.15384615384615","4.30769230769231","5.84615384615385","6.04347826086957","4.78260869565217","5.82608695652174","6.69565217391304","1"
"伐","28.2307692307692","29.8928571428571","26","28","19","23","3,7,9,11,201,201,35,31,30,560,787,845,n-90,10003,tr-10008,10005,10009,10006,10036,10706,10809,20000,20000,20007,30000,tr-60003","1,2,8,5,12,21,32,33,550,789,667,502,n-5,n-32,10004,10007,10002,10022,10023,10024,10023,10023,10000,10035,10705,20006,20003,60010","3.94915254237288","5.72881355932203","6.01694915254237","4.97619047619048","5.61904761904762","5.78571428571429","5.71428571428571","4.53846153846154","6.11538461538461","6.26923076923077","4.84210526315789","6.10526315789474","6.15789473684211","5.36842105263158","3.21428571428571","5.60714285714286","5.92857142857143","5.08695652173913","5.21739130434783","5.47826086956522","6","2"
"提","28.6923076923077","30.3703703703704","26","27","19","24","3,7,9,11,201,201,35,31,30,560,787,845,n-90,10003,tr-10008,10005,10009,10006,10036,10706,10807,10809,20000,20007,30000,tr-60003","1,2,8,5,12,21,32,33,550,789,667,502,n-5,n-32,10004,10007,10002,10022,10024,10023,10000,10035,10705,20006,20006,20003,60010","5.33928571428571","4.64285714285714","5.26785714285714","4.95348837209302","5.58139534883721","5.51162790697674","5.72093023255814","5.34615384615385","5.03846153846154","5.15384615384615","4.57894736842105","5.78947368421053","6.10526315789474","5.47368421052632","5.37037037037037","4.22222222222222","5.40740740740741","5.25","5.41666666666667","5.04166666666667","5.91666666666667","2"
"作","27.9615384615385","30.1538461538462","26","26","18","23","3,7,9,11,201,201,35,31,30,560,787,845,n-90,10003,tr-10008,10005,10009,10006,10036,10706,10809,20000,20007,30000,tr-60003,tr-60003","1,2,8,5,12,21,32,33,550,789,667,502,n-5,n-32,10004,10007,10002,10022,10024,10023,10000,10035,10705,20006,20003,60010","4.56140350877193","4.98245614035088","5","6.21951219512195","4.4390243902439","4.85365853658537","5.51219512195122","4.69230769230769","5.34615384615385","4.69230769230769","5.44444444444444","5.44444444444444","5.22222222222222","5.61111111111111","4.42307692307692","4.57692307692308","5.34615384615385","6.82608695652174","3.65217391304348","4.56521739130435","5.43478260869565","1"
"奶","28.4444444444444","30.1538461538462","27","26","20","21","3,7,9,11,201,201,35,31,30,560,787,845,n-90,10003,tr-10008,10005,10009,10006,10036,10706,10807,10809,20000,20000,20007,30000,tr-60003","1,2,8,5,12,21,32,33,550,789,667,502,n-5,n-32,10004,10007,10002,10022,10024,10023,10000,10035,10705,20006,20003,60010","6.17241379310345","5.18965517241379","5.18965517241379","3.25581395348837","6.58139534883721","5.62790697674419","4.11627906976744","6.55555555555556","5.85185185185185","5.74074074074074","3.35","6.65","6.35","3.75","5.84615384615385","4.38461538461539","4.53846153846154","3.19047619047619","6.95238095238095","5.28571428571429","4.66666666666667","3"
"张","27.6666666666667","30.1538461538462","24","26","18","22","3,7,9,11,35,31,30,560,787,845,n-90,10003,tr-10008,10005,10009,10006,10036,10706,10807,10809,20000,20007,30000,tr-60003","1,2,8,5,12,21,32,33,550,789,667,502,n-5,n-32,10004,10007,10002,10022,10024,10023,10000,10035,10705,20006,20003,60010","5.20754716981132","4.52830188679245","5.05660377358491","5.875","4.725","5.15","6.15","5.20833333333333","4.95833333333333","4.66666666666667","5.66666666666667","5.16666666666667","5.11111111111111","5.66666666666667","5.30769230769231","4.07692307692308","5.5","6.04545454545455","4.36363636363636","5.18181818181818","6.54545454545455","1"
"方","28.6923076923077","30.1481481481481","26","27","19","22","3,7,9,11,201,201,35,31,30,560,787,845,n-90,10003,tr-10008,10005,10009,10006,10036,10706,10807,10809,20000,20007,30000,tr-60003","1,2,8,5,12,101,21,32,33,550,789,667,502,n-5,n-32,10004,10007,10002,10022,10024,10023,10000,10035,10705,20006,20003,60010","5.26785714285714","4.28571428571429","5.10714285714286","4.19047619047619","6.28571428571429","5.57142857142857","5.54761904761905","5.34615384615385","4.88461538461539","4.92307692307692","4.73684210526316","5.73684210526316","5.89473684210526","5.47368421052632","5.14814814814815","3.77777777777778","5.22222222222222","3.86363636363636","7","5.5","5.81818181818182","1"
"长","27.6666666666667","30.037037037037","24","27","20","23","3,7,9,11,35,31,30,560,787,845,n-90,10003,tr-10008,10005,10009,10006,10036,10706,10807,10809,20000,20007,30000,tr-60003","1,2,8,5,12,21,32,33,550,789,667,502,n-5,n-32,10004,10007,10002,10022,10024,10023,10023,10000,10035,10705,20006,20003,60010","6.16363636363636","4.94545454545455","5.47272727272727","4.18604651162791","6.67441860465116","5.83720930232558","6.27906976744186","6.41666666666667","5.45833333333333","5.75","4.7","6.6","6.05","6.6","5.96296296296296","4.44444444444444","5.2962962962963","3.73913043478261","6.73913043478261","5.65217391304348","6","2"
